id,Streams (Billions)
4ZtFanR9U6ndgddUvNcjcG,1.80866
5fxyZf6m2xHeSrOzUfcJrq,2.52575
5nujrmhLynf4yMoMtj8AQF,1.715971
4iJyoBOLtHqaGxP12qzhQI,1.391998
1SC5rEoYDGUK4NfG82494W,1.678758
3DarAbFujv6eYNliUTyqtz,1.505434
02VBYrHfVwfEWXk5DXyf0T,1.062656
5wANPM4fQCJwkGd4rN57mH,1.780051
0VjIjW4GlUZAMYd2vXMi3b,3.546366
6HU7h9RYOaPRFeh0R3UeAr,1.177209
6f3Slt0GbA2bPZlz0aIFXN,1.022289
3Ofmpyhv5UAQ70mENzB277,1.10209
18vXApRmJSgQ6wG2ll9AOg,0.760005
5zFglKYiknIxks8geR8rcL,0.596719
27tDoZsybt3KvJWTDoW9id,0.895128
02MWAaffLxlfxAUY7c5dvx,2.410414
7mmYQV0o7sW0pM8rNd3mLG,0.208358
4jPy3l0RUwlUI9T5XHBW2m,1.65486
7tZHEwEYKcI3kJLi9RQJL3,0.588581
6UelLqGlWMcVH1E5c4H7lY,2.206603
1Xi84slp6FryDSCbzq4UCD,0.936915
5rZlwNFl01HqLWBQGryKSm,0.659848
5nujrmhLynf4yMoMtj8AQF,1.71695
4fSIb4hdOQ151TILNsSEaF,1.115117
3Wrjm47oTz2sjIgck11l5e,1.304785
7e1VoRlNumuEkXlITMHKLE,0.178947
2VS1VIq1t7zTVKKc0YV0fo,0.135706
6IBcOGPsniK3Pso1wHIhew,0.35239
2P2kJEIAXutA2J7DXW1Wux,1.351606
7qEHsqek33rTcFNT9PFqLf,2.758128
3Vi5XqYrmQgOYBajMWSvCi,0.998051
4eAtgAE8EJ8tBQsAnZEonX,2.548193
5nujrmhLynf4yMoMtj8AQF,0.74096
50nfwKoDiSYg8zOCREWAm5,1.208098
7cYNQkJoyHVhP8Drb2n6d5,2.220883
3fx31TjnwvwZIyAGHhOhA1,0.02945771
0MvxgmXHMXh70GpnR0mKkT,
3XYRV7ZSHqIRDG87DKTtry,0.585951
58w68w4s8h9gw3xrDaXyuj,0.103487
2JPLbjOn0wPCngEot2STUS,1.20404
02VBYrHfVwfEWXk5DXyf0T,1.063297
54bFM56PmE4YLRnqpW6Tha,0.689392
6cx06DFPPHchuUAcTxznu9,1.049418
1ZMiCix7XSAbfAJlEZWMCp,0.969236
161DnLWsx1i3u1JT05lzqU,0.998524
6tDDoYIxWvMLTdKpjFkc1B,0.842339
2MOoIbJWIYikwIXjBDe26i,0.281488
7BJecfRrRlAay7KGcyz2lq,0.366637
4nDYmWpBz8OGFKbXSCkX4i,1.487836
1H7KnK26kc1YyellpbINEn,0.502272
1zvk4QIyIcb7uI6BK5TkQ9,0.977847
2KePp7PaiC1SKwKYzEScla,0.623814
3U4isOIWM3VvDubwSI3y7a,2.016516
45bE4HXI0AwGZXfZtMp8JR,1.131004
7qiZfU4dY1lWllzX7mPBI3,3.459428
6V1bu6o1Yo5ZXnsCJU8Ovk,1.528022
6rZk29Yz8ObEwtJOIaACt5,1.690856
78Nyf6RlqBANlMhSnKyClT,0.06949649
3CRDbSIZ4r5MsZ0YwxuEkn,1.907949
54bFM56PmE4YLRnqpW6Tha,0.689392
0elmUoU7eMPwZX1Mw1MnQo,0.157898
072Hl1zCG3UMxc7JBeQk7r,1.849188
6cHOsanMHAZ8JXNtYipIcA,0.446488
4xqrdfXkTW4T0RauPLv3WA,1.219211
32OlwWuMpZ6b0aN2RZOeMS,1.705336
3FGU19VhodS1rtCnVfHR8l,2.411377
2gMXnyrvIjhVBUZwvLZDMP,1.523681
2XU0oxnq2qxCpomAAuJY8K,2.806624
2VxeLyX666F8uXCJ0dZF8B,2.084843
4cktbXiXOapiLBMprHFErI,1.728617
6A53tLi9vpLhmgaEvzRyip,0.02252488
5eFfsbjSouG8qOpg9ZqDl6,0.05734099
1CS7Sd1u5tWkstBhpssyjP,2.042466
2V2lFQQQR3iqSUG5jwDQd9,0.651262
21jGcNKet2qwijlDFuPiPb,2.040505
1x6YtYuLHlvFaVOLsSLbWN,0.04985912
6UelLqGlWMcVH1E5c4H7lY,2.207876
5enxwA8aAbwZbf5qCHORXi,
0RtMRbaqeadQFvlYxcAczv,1.388339
3eekarcy7kvN4yt5ZFzltW,1.334056
0e7ipj03S05BNilyu5bRzt,1.6595
07g8LrnpOgV1BJg4ezJ5gf,1.532052
45S5WTQEGOB1VHr1Q4FuPl,0.764843
0tBbt8CrmxbjRP0pueQkyU,1.221497
3DarAbFujv6eYNliUTyqtz,1.506266
7cYNQkJoyHVhP8Drb2n6d5,2.220883
6ft4hAq6yde8jPZY2i5zLr,0.625083
3AzjcOeAmA57TIOr9zF1ZW,0.809519
2H1047e0oMSj10dgp7p2VG,1.06742
2V2lFQQQR3iqSUG5jwDQd9,0.651262
0pqnGHJpmpxLKifKRmU6WP,2.479846
5wANPM4fQCJwkGd4rN57mH,1.780966
4jPy3l0RUwlUI9T5XHBW2m,1.655938
2JPLbjOn0wPCngEot2STUS,1.204842
7oD0hfEoijJtSXj7fblDor,0.0527614
4iJyoBOLtHqaGxP12qzhQI,1.393289
1FSWSs9CL01RCYxXtm08Rf,0.209552
54bFM56PmE4YLRnqpW6Tha,0.689392
5jsw9uXEGuKyJzs0boZ1bT,1.599571
1SC5rEoYDGUK4NfG82494W,1.680175
